@relation name

@attribute #1_id string
@attribute #1_span string
@attribute #1_perseus:LEMMA string
@attribute #1_perseus:case string
@attribute #1_perseus:cite string
@attribute #1_perseus:form string
@attribute #1_perseus:gender string
@attribute #1_perseus:number string
@attribute #1_perseus:part-of-speech string
@attribute #1_perseus:postag string
@attribute #1_perseus:sense string
@attribute #1_perseus:urn string
@attribute #1_saltSemantics:POS string

@data
'1416056','quae','qui','nominative','NULL','quae','neuter','plural','pronoun','p-p---nn-','1','NULL','pronoun'
'590543','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'353390','quem','qui','accusative','NULL','quem','masculine','singular','pronoun','p-s---ma-','1','NULL','pronoun'
'552637','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'589528','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'1040676','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'568035','quae','qui','nominative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0959.phi006:1.524\'>Text<\/a>','quae','feminine','plural','pronoun','p-p---fn-','1','urn:cts:latinLit:phi0959.phi006:1.524','pronoun'
'1042870','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1044572','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'592422','quo','qui','ablative','NULL','quo','masculine','singular','pronoun','p-s---mb-','1','NULL','pronoun'
'598174','quem','qui','accusative','NULL','quem','masculine','singular','pronoun','p-s---ma-','1','NULL','pronoun'
'548194','quae','qui','nominative','NULL','quae','feminine','plural','pronoun','p-p---fn-','1','NULL','pronoun'
'590499','quod','qui','nominative','NULL','quod','neuter','singular','pronoun','p-s---nn-','1','NULL','pronoun'
'1417300','quam','qui','NULL','NULL','quam','NULL','NULL','adverb','d--------','1','NULL','adverb'
'1044560','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'355346','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'1416090','quam','qui','NULL','NULL','quam','NULL','NULL','adverb','d--------','1','NULL','adverb'
'550462','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'590507','quod','qui','accusative','NULL','quod','neuter','singular','pronoun','p-s---na-','1','NULL','pronoun'
'594907','Qui','qui','nominative','NULL','Qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1038963','quibus','qui','dative','NULL','quibus','masculine','plural','pronoun','p-p---md-','1','NULL','pronoun'
'1037018','quarum','qui','genitive','NULL','quarum','feminine','plural','pronoun','p-p---fg-','1','NULL','pronoun'
'355495','quo','qui','ablative','NULL','quo','masculine','singular','pronoun','p-s---mb-','1','NULL','pronoun'
'592520','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'1040780','quam','qui','accusative','NULL','quam','feminine','singular','pronoun','p-s---fa-','1','NULL','pronoun'
'550539','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'352118','quibus','qui','ablative','NULL','quibus','neuter','plural','pronoun','p-p---nb-','1','NULL','pronoun'
'352116','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'589311','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'592515','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1417316','quam','qui','NULL','NULL','quam','NULL','NULL','adverb','d--------','1','NULL','adverb'
'1044597','quae','qui','accusative','NULL','quae','neuter','plural','pronoun','p-p---na-','1','NULL','pronoun'
'596859','quae','qui','nominative','NULL','quae','neuter','plural','pronoun','p-p---nn-','1','NULL','pronoun'
'596837','quae','qui','accusative','NULL','quae','neuter','plural','pronoun','p-p---na-','1','NULL','pronoun'
'1046516','quem','qui','accusative','NULL','quem','masculine','singular','pronoun','p-s---ma-','1','NULL','pronoun'
'1040798','quod','qui','accusative','NULL','quod','neuter','singular','pronoun','p-s---na-','1','NULL','pronoun'
'355520','cui','qui','dative','NULL','cui','feminine','singular','pronoun','p-s---fd-','1','NULL','pronoun'
'353318','quod','qui','nominative','NULL','quod','neuter','singular','pronoun','p-s---nn-','1','NULL','pronoun'
'594675','quod','qui','nominative','NULL','quod','neuter','singular','pronoun','p-s---nn-','1','NULL','pronoun'
'1042702','quas','qui','accusative','NULL','quas','feminine','plural','pronoun','p-p---fa-','1','NULL','pronoun'
'550507','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'568237','Cui','qui','dative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0959.phi006:1.556\'>Text<\/a>','Cui','feminine','singular','pronoun','p-s---fd-','1','urn:cts:latinLit:phi0959.phi006:1.556','pronoun'
'552440','quo','qui','ablative','NULL','quo','neuter','singular','pronoun','p-s---nb-','1','NULL','pronoun'
'589330','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'353366','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'998865','quarum','qui','genitive','NULL','quarum','feminine','plural','pronoun','p-p---fg-','1','NULL','pronoun'
'592495','quod','qui','accusative','NULL','quod','neuter','singular','pronoun','p-s---na-','1','NULL','pronoun'
'1416004','quos','qui','accusative','NULL','quos','masculine','plural','pronoun','p-p---ma-','1','NULL','pronoun'
'352154','quo','qui','ablative','NULL','quo','neuter','singular','pronoun','p-s---nb-','1','NULL','pronoun'
'355532','quem','qui','accusative','NULL','quem','masculine','singular','pronoun','p-s---ma-','1','NULL','pronoun'
'589321','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'566052','quae','qui','nominative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0959.phi006:1.247\'>Text<\/a>','quae','feminine','singular','pronoun','p-s---fn-','1','urn:cts:latinLit:phi0959.phi006:1.247','pronoun'
'998859','quas','qui','accusative','NULL','quas','feminine','plural','pronoun','p-p---fa-','1','NULL','pronoun'
'1038898','quam','qui','accusative','NULL','quam','feminine','singular','pronoun','p-s---fa-','1','NULL','pronoun'
'594715','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1040766','quarum','qui','genitive','NULL','quarum','feminine','plural','pronoun','p-p---fg-','1','NULL','pronoun'
'1044612','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'353351','quae','qui','accusative','NULL','quae','neuter','plural','pronoun','p-p---na-','1','NULL','pronoun'
'355546','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'352138','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'548158','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'355425','quam','qui','accusative','NULL','quam','feminine','singular','pronoun','p-s---fa-','1','NULL','pronoun'
'589374','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'996592','quo','qui','ablative','NULL','quo','masculine','singular','pronoun','p-s---mb-','1','NULL','pronoun'
'355436','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1417395','cuius','qui','genitive','NULL','cuius','feminine','singular','pronoun','p-s---fg-','1','NULL','pronoun'
'352161','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'566021','quas','qui','accusative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0959.phi006:1.243\'>Text<\/a>','quas','feminine','plural','pronoun','p-p---fa-','1','urn:cts:latinLit:phi0959.phi006:1.243','pronoun'
'1417404','quam','qui','accusative','NULL','quam','feminine','singular','pronoun','p-s---fa-','1','NULL','pronoun'
'552501','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'1046597','quibus','qui','ablative','NULL','quibus','neuter','plural','pronoun','p-p---nb-','1','NULL','pronoun'
'352212','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'550571','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'1417414','quos','qui','accusative','NULL','quos','masculine','plural','pronoun','p-p---ma-','1','NULL','pronoun'
'1038818','quas','qui','accusative','NULL','quas','feminine','plural','pronoun','p-p---fa-','1','NULL','pronoun'
'568166','Qua','qui','ablative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0959.phi006:1.546\'>Text<\/a>','Qua','feminine','singular','pronoun','p-s---fb-','1','urn:cts:latinLit:phi0959.phi006:1.546','pronoun'
'1046616','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'353289','quibus','qui','ablative','NULL','quibus','neuter','plural','pronoun','p-p---nb-','1','NULL','pronoun'
'355476','quem','qui','accusative','NULL','quem','masculine','singular','pronoun','p-s---ma-','1','NULL','pronoun'
'1036910','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'589386','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'1042721','qua','qui','ablative','NULL','qua','feminine','singular','pronoun','p-s---fb-','1','NULL','pronoun'
'1044675','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'552490','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'596943','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'351727','qua','qui','ablative','NULL','qua','feminine','singular','pronoun','p-s---fb-','1','NULL','pronoun'
'590722','quod','qui','nominative','NULL','quod','neuter','singular','pronoun','p-s---nn-','1','NULL','pronoun'
'1042575','Quibus','qui','ablative','NULL','Quibus','feminine','plural','pronoun','p-p---fb-','1','NULL','pronoun'
'349812','quem','qui','accusative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0448.phi001:2.33\'>Text<\/a>','quem','masculine','singular','pronoun','p-s---ma-','1','urn:cts:latinLit:phi0448.phi001:2.33','pronoun'
'550684','quam','qui','accusative','NULL','quam','feminine','singular','pronoun','p-s---fa-','1','NULL','pronoun'
'1417457','quos','qui','accusative','NULL','quos','masculine','plural','pronoun','p-p---ma-','1','NULL','pronoun'
'592655','quem','qui','accusative','NULL','quem','masculine','singular','pronoun','p-s---ma-','1','NULL','pronoun'
'351737','quod','qui','nominative','NULL','quod','neuter','singular','pronoun','p-s---nn-','1','NULL','pronoun'
'349796','qui','qui','nominative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0448.phi001:2.32\'>Text<\/a>','qui','masculine','plural','pronoun','p-p---mn-','1','urn:cts:latinLit:phi0448.phi001:2.32','pronoun'
'1044731','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'353728','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'598464','quod','qui','accusative','NULL','quod','neuter','singular','pronoun','p-s---na-','1','NULL','pronoun'
'351732','quod','qui','nominative','NULL','quod','neuter','singular','pronoun','p-s---nn-','1','NULL','pronoun'
'552854','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'565932','Quod','qui','accusative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0959.phi006:1.230\'>Text<\/a>','Quod','neuter','singular','pronoun','p-s---na-','1','urn:cts:latinLit:phi0959.phi006:1.230','pronoun'
'594583','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'550647','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1039282','quoi','qui','dative','NULL','quoi','masculine','singular','pronoun','p-s---md-','1','NULL','pronoun'
'355671','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'351751','quod','qui','nominative','NULL','quod','neuter','singular','pronoun','p-s---nn-','1','NULL','pronoun'
'353738','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1417485','quam','qui','NULL','NULL','quam','NULL','NULL','adverb','d--------','1','NULL','adverb'
'1044753','quae','qui','accusative','NULL','quae','neuter','plural','pronoun','p-p---na-','1','NULL','pronoun'
'349832','quae','qui','nominative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0448.phi001:2.33\'>Text<\/a>','quae','feminine','plural','pronoun','p-p---fn-','1','urn:cts:latinLit:phi0448.phi001:2.33','pronoun'
'567844','quae','qui','accusative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0959.phi006:1.499\'>Text<\/a>','quae','neuter','plural','pronoun','p-p---na-','1','urn:cts:latinLit:phi0959.phi006:1.499','pronoun'
'550627','quod','qui','accusative','NULL','quod','neuter','singular','pronoun','p-s---na-','1','NULL','pronoun'
'1037110','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'592620','quas','qui','accusative','NULL','quas','feminine','plural','pronoun','p-p---fa-','1','NULL','pronoun'
'996477','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'547991','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1040479','quoius','qui','genitive','NULL','quoius','feminine','singular','adjective','a-s---fg-','1','NULL','adjective'
'1039253','quae','qui','accusative','NULL','quae','neuter','plural','pronoun','p-p---na-','1','NULL','pronoun'
'547988','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'547985','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'351802','quod','qui','accusative','NULL','quod','neuter','singular','pronoun','p-s---na-','1','NULL','pronoun'
'592713','quibus','qui','ablative','NULL','quibus','neuter','plural','pronoun','p-p---nb-','1','NULL','pronoun'
'1039237','quem','qui','accusative','NULL','quem','masculine','singular','pronoun','p-s---ma-','1','NULL','pronoun'
'592710','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1042641','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'353668','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'353671','quae','qui','nominative','NULL','quae','neuter','plural','pronoun','p-p---nn-','1','NULL','pronoun'
'589776','quam','qui','accusative','NULL','quam','feminine','singular','pronoun','p-s---fa-','1','NULL','pronoun'
'1037034','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'353680','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'1044812','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'353677','quae','qui','accusative','NULL','quae','neuter','plural','pronoun','p-p---na-','1','NULL','pronoun'
'1037047','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'1040424','quam','qui','accusative','NULL','quam','feminine','singular','pronoun','p-s---fa-','1','NULL','pronoun'
'1039209','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'351840','qua','qui','ablative','NULL','qua','feminine','singular','pronoun','p-s---fb-','1','NULL','pronoun'
'353691','quorum','qui','genitive','NULL','quorum','masculine','plural','pronoun','p-p---mg-','1','NULL','pronoun'
'552888','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'351831','quod','qui','nominative','NULL','quod','neuter','singular','pronoun','p-s---nn-','1','NULL','pronoun'
'598317','quod','qui','accusative','NULL','quod','neuter','singular','pronoun','p-s---na-','1','NULL','pronoun'
'550810','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'349696','qua','qui','ablative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0448.phi001:2.32\'>Text<\/a>','qua','feminine','singular','pronoun','p-s---fb-','1','urn:cts:latinLit:phi0448.phi001:2.32','pronoun'
'351847','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1042440','quae','qui','accusative','NULL','quae','neuter','plural','pronoun','p-p---na-','1','NULL','pronoun'
'550813','quorum','qui','genitive','NULL','quorum','masculine','plural','pronoun','p-p---mg-','1','NULL','pronoun'
'1039196','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'351853','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'353573','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'351856','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'1039199','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'349682','quae','qui','nominative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0448.phi001:2.32\'>Text<\/a>','quae','neuter','plural','pronoun','p-p---nn-','1','urn:cts:latinLit:phi0448.phi001:2.32','pronoun'
'592794','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'590595','qua','qui','ablative','NULL','qua','feminine','singular','pronoun','p-s---fb-','1','NULL','pronoun'
'552724','qua','qui','ablative','NULL','qua','NULL','singular','pronoun','p-s----b-','1','NULL','pronoun'
'547906','quae','qui','nominative','NULL','quae','feminine','plural','pronoun','p-p---fn-','1','NULL','pronoun'
'351864','quod','qui','nominative','NULL','quod','neuter','singular','pronoun','p-s---nn-','1','NULL','pronoun'
'1042453','qua','qui','ablative','NULL','qua','feminine','singular','pronoun','p-s---fb-','1','NULL','pronoun'
'589554','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'1037267','quam','qui','accusative','NULL','quam','feminine','singular','pronoun','p-s---fa-','1','NULL','pronoun'
'351871','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'552729','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'349667','quae','qui','nominative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0448.phi001:2.32\'>Text<\/a>','quae','neuter','plural','pronoun','p-p---nn-','1','urn:cts:latinLit:phi0448.phi001:2.32','pronoun'
'550779','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'998602','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'351876','quod','qui','nominative','NULL','quod','neuter','singular','pronoun','p-s---nn-','1','NULL','pronoun'
'351888','cui','qui','dative','NULL','cui','masculine','singular','pronoun','p-s---md-','1','NULL','pronoun'
'565804','Quod','qui','nominative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0959.phi006:1.210\'>Text<\/a>','Quod','neuter','singular','pronoun','p-s---nn-','1','urn:cts:latinLit:phi0959.phi006:1.210','pronoun'
'998595','quod','qui','accusative','NULL','quod','neuter','singular','pronoun','p-s---na-','1','NULL','pronoun'
'565808','quae','qui','nominative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0959.phi006:1.210\'>Text<\/a>','quae','feminine','singular','pronoun','p-s---fn-','1','urn:cts:latinLit:phi0959.phi006:1.210','pronoun'
'552685','qui','qui','nominative','NULL','qui','masculine','singular','pronoun','p-s---mn-','1','NULL','pronoun'
'355802','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'351882','quod','qui','nominative','NULL','quod','neuter','singular','pronoun','p-s---nn-','1','NULL','pronoun'
'1415757','quod','qui','accusative','NULL','quod','neuter','singular','pronoun','p-s---na-','1','NULL','pronoun'
'1046788','quam','qui','accusative','NULL','quam','feminine','singular','pronoun','p-s---fa-','1','NULL','pronoun'
'355781','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'552692','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'351891','quem','qui','accusative','NULL','quem','masculine','singular','pronoun','p-s---ma-','1','NULL','pronoun'
'565816','quam','qui','accusative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0959.phi006:1.212\'>Text<\/a>','quam','feminine','singular','pronoun','p-s---fa-','1','urn:cts:latinLit:phi0959.phi006:1.212','pronoun'
'567981','quod','qui','nominative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0959.phi006:1.517\'>Text<\/a>','quod','neuter','singular','pronoun','p-s---nn-','1','urn:cts:latinLit:phi0959.phi006:1.517','pronoun'
'1037233','quod','qui','nominative','NULL','quod','neuter','singular','pronoun','p-s---nn-','1','NULL','pronoun'
'998616','quae','qui','nominative','NULL','quae','neuter','plural','pronoun','p-p---nn-','1','NULL','pronoun'
'552703','quae','qui','nominative','NULL','quae','feminine','singular','pronoun','p-s---fn-','1','NULL','pronoun'
'1039125','qui','qui','nominative','NULL','qui','masculine','plural','pronoun','p-p---mn-','1','NULL','pronoun'
'594494','quod','qui','accusative','NULL','quod','neuter','singular','pronoun','p-s---na-','1','NULL','pronoun'
'565774','Qui','qui','nominative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0959.phi006:1.205\'>Text<\/a>','Qui','masculine','singular','pronoun','p-s---mn-','1','urn:cts:latinLit:phi0959.phi006:1.205','pronoun'
'567960','quem','qui','accusative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0959.phi006:1.515\'>Text<\/a>','quem','masculine','singular','pronoun','p-s---ma-','1','urn:cts:latinLit:phi0959.phi006:1.515','pronoun'
'349747','qui','qui','nominative','<a href=\'http:\/\/data.perseus.org\/citations\/urn:cts:latinLit:phi0448.phi001:2.32\'>Text<\/a>','qui','masculine','plural','pronoun','p-p---mn-','1','urn:cts:latinLit:phi0448.phi001:2.32','pronoun'
'996352','quod','qui','accusative','NULL','quod','neuter','singular','pronoun','p-s---na-','1','NULL','pronoun'
'1040595','quorum','qui','genitive','NULL','quorum','masculine','plural','pronoun','p-p---mg-','1','NULL','pronoun'
