#From sentence-stats.xq
WORK,SENT-ADDR,MAIN,PRED,PARENTH,O.R.,CUM,CUMQUE,UBI,UBI(QUE|)(NAM|),UBICUMQUE,QUANDO,DUM,DONEC,DUMMODO,MODO,ANTEQUAM,POSTEAQUAM,POSTMODUM QUAM,POSTQUAM,PRIUSQUAM,QUOTIENS,QUOTIENS(CUM|)QUE,QUATENUS,QUO,QUORSUM,UTROQUE,UBIUBI,QUOQUO,UNDECUMQUE,QUAQUA,SICUBI,SIQUO,SICUNDE,SIQUA,QUONIAM,QUOD,QUIA,ADV,COMP,ATR,SUB,SENTLEN,WORKLEN,GENRE,SUM,COORD,ASYND
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,9,4393,prose,1|0|0,0,NA
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,4393,prose,1|0|0,1,NA
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,4393,prose,1|0|0,1,NA
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|37,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,24,4393,prose,1|0|0,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|38,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36,4393,prose,1|0|0,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,4393,prose,1|0|0,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|41,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4393,prose,0|0|0,2,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|42,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4393,prose,0|0|0,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|43,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|44,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4393,prose,0|0|0,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,3,24,4393,prose,1|0|2,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,4393,prose,1|0|0,0,NA
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|49,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|50,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,4393,prose,0|0|1,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|51,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4393,prose,0|0|0,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|52,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|53,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,7,4393,prose,1|0|0,0,NA
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|55,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|56,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,12,4393,prose,0|1|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|57,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,17,4393,prose,0|3|0,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|58,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|59,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,11,4393,prose,1|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|60,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4393,prose,0|0|0,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|61,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,4393,prose,0|0|1,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,4393,prose,0|0|1,2,NA
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|63,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4393,prose,0|0|0,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|64,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|65,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4393,prose,0|0|0,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|66,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4393,prose,0|0|0,2,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|67,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4393,prose,0|0|0,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|68,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|69,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,4393,prose,0|0|1,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|70,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,15,4393,prose,1|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|71,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,11,4393,prose,0|0|1,1,0.333333333333333333
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|72,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,14,4393,prose,0|0|1,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|73,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|75,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,4393,prose,0|0|0,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|76,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|77,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|78,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,4393,prose,1|0|0,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|79,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|81,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,4,41,4393,prose,1|2|1,4,4
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,4393,prose,0|1|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|83,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,13,4393,prose,0|1|0,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|84,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4393,prose,0|0|0,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|85,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|86,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,4393,prose,1|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|87,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,14,4393,prose,1|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|88,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4393,prose,0|0|0,1,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|89,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,8,4393,prose,0|1|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|90,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4393,prose,0|0|0,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|91,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,25,4393,prose,0|0|1,0,0
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|92,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4393,prose,0|0|0,2,1
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|93,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,4393,prose,0|0|0,1,0.5
Elegie,/ldt2.1-treebanks/phi0620.phi001.perseus-lat1.tb.xml|94,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4393,prose,0|0|0,0,0
